School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Wareham - Wareham Senior High,03100505,     405,       4,   1.0,   0.8,   1.0,   0.0,   2.3
Watertown - Watertown High,03140505,     700,      19,   2.7,   1.0,   2.3,   5.4,   2.7
Wayland - Wayland High School,03150505,     831,       1,   0.1,   0.0,   0.0,   0.0,   0.5
Webster - Bartlett High School,03160505,     395,      31,   7.8,   5.5,   8.1,   8.8,   9.8
Wellesley - Wellesley Sr High,03170505,"   1,395",       2,   0.1,   0.0,   0.0,   0.0,   0.6
West Boylston - West Boylston Junior/Senior High,03220505,     260,       4,   1.5,   0.0,   0.0,   3.0,   2.4
West Bridgewater - West Bridgewater Junior/Senior,03230505,     398,       3,   0.8,   0.0,   0.0,   2.0,   1.0
West Springfield - West Springfield High,03320505,"   1,167",      25,   2.1,   2.5,   1.0,   1.8,   3.2
Westborough - Westborough High,03210505,"   1,169",       5,   0.4,   0.0,   0.0,   1.1,   0.7
Westfield - Westfield High,03250505,"   1,090",      26,   2.4,   0.4,   3.0,   1.9,   4.0
Westfield - Westfield Technical Academy,03250605,     539,       5,   0.9,   0.0,   0.7,   0.0,   3.4
Westford - Westford Academy,03260505,"   1,564",       5,   0.3,   0.0,   0.5,   0.2,   0.5
Weston - Weston High,03300505,     638,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Westport - Westport Middle-High School,03310515,     316,       7,   2.2,   2.1,   3.7,   1.4,   1.4
Westwood - Westwood High,03350505,     949,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Weymouth - Weymouth High School,03360505,"   1,795",      27,   1.5,   1.9,   1.3,   1.2,   1.5
Whitman-Hanson - Whitman Hanson Regional,07800505,"   1,074",      14,   1.3,   0.4,   1.3,   1.0,   2.4
Whittier Regional Vocational Technical - Whittier Regional Vocational,08850605,"   1,282",       8,   0.6,   0.3,   1.2,   0.0,   1.0
Wilmington - Wilmington High,03420505,     694,       8,   1.2,   0.0,   1.2,   1.6,   1.5
Winchendon - Murdock Academy for Success,03430405,      26,      20,  76.9,,,,
Winchendon - Murdock High School,03430515,     265,      10,   3.8,   3.5,   4.8,   3.9,   3.0
Winchester - Winchester High School,03440505,"   1,349",       5,   0.4,   0.9,   0.0,   0.3,   0.3
Winthrop - Winthrop High School,03460505,     562,      17,   3.0,   0.7,   6.4,   0.8,   4.1
Woburn - Woburn High,03470505,"   1,215",      18,   1.5,   0.3,   1.8,   1.5,   2.4
Worcester - Burncoat Senior High,03480503,"   1,166",      30,   2.6,   1.0,   2.5,   3.3,   3.7
Worcester - Claremont Academy,03480350,     340,      18,   5.3,   5.6,   4.9,   3.8,   6.7
Worcester - Doherty Memorial High,03480512,"   1,320",      24,   1.8,   0.3,   1.9,   2.9,   2.3
Worcester - North High,03480515,"   1,287",      38,   3.0,   2.2,   5.0,   2.4,   2.3
Worcester - South High Community,03480520,"   1,509",      37,   2.5,   2.4,   3.3,   2.2,   1.7
Worcester - University Pk Campus School,03480285,     154,       1,   0.6,   0.0,   0.0,   0.0,   2.9
Worcester - Worcester Technical High,03480605,"   1,476",       7,   0.5,   0.0,   0.0,   0.3,   1.7
